trial_id,model_name,parameters,luts_used,registers_used,total_resources,predicted_resources,residual
021,model_trial_021,1599,20201,23680,43881,42692.81016802787,1188.1898319721295
005,model_trial_005,3261,35259,43475,78734,67135.10398290402,11598.896017095976
008,model_trial_008,7997,66544,76820,143364,136785.34676705173,6578.6532329482725
026,model_trial_026,1727,21671,25386,47057,44575.24916219403,2481.750837805972
029,model_trial_029,819,11314,12453,23767,31221.697547327873,-7454.697547327873
022,model_trial_022,5337,50862,59944,110806,97665.91141953632,13140.088580463678
011,model_trial_011,10781,84515,100526,185041,177728.39489016554,7312.6051098344615
055,model_trial_055,489,6984,8397,15381,26368.53451549326,-10987.534515493258
048,model_trial_048,433,6977,8382,15359,25544.967455545564,-10185.967455545564
039,model_trial_039,3225,33597,39776,73373,66605.6680157948,6767.331984205201
065,model_trial_065,1545,18617,21258,39875,41898.65621736403,-2023.6562173640268
071,model_trial_071,363,6292,7073,13365,24515.50863061095,-11150.508630610952
072,model_trial_072,363,5123,5778,10901,24515.50863061095,-13614.508630610952
070,model_trial_070,1489,17824,21093,38917,41075.08915741633,-2158.0891574163325
068,model_trial_068,4823,46166,52906,99072,90106.74233358787,8965.25766641213
079,model_trial_079,1523,18267,21330,39597,41575.11201524171,-1978.1120152417134
081,model_trial_081,1683,21376,25240,46616,43928.16075794941,2687.8392420505916
078,model_trial_078,5357,50175,60071,110246,97960.04251237478,12285.957487625215
096,model_trial_096,419,6695,7441,14136,25339.075690558642,-11203.075690558642
087,model_trial_087,2265,26279,32236,58515,52487.37555954864,6027.624440451364
110,model_trial_110,489,7923,8820,16743,26368.53451549326,-9625.534515493258
108,model_trial_108,2271,25427,29519,54946,52575.61488740018,2370.385112599819
103,model_trial_103,3703,37582,44398,81980,73635.40113463401,8344.598865365988
118,model_trial_118,9901,77205,89213,166418,164786.62680527323,1631.373194726766
101,model_trial_101,15349,114814,133045,247859,244907.93649447017,2951.0635055298335
128,model_trial_128,15641,110359,126363,236722,249202.2504499117,-12480.250449911691
130,model_trial_130,7913,70042,81687,151729,135549.99617713018,16179.003822869825
119,model_trial_119,17739,116744,128582,245326,280056.6020886663,-34730.60208866629
144,model_trial_144,391,6399,7478,13877,24927.292160584795,-11050.292160584795
147,model_trial_147,3773,38792,47224,86016,74664.85995956864,11351.14004043136
134,model_trial_134,13923,107719,126227,233946,223936.38957508787,10009.610424912127
143,model_trial_143,10645,81554,93323,174877,175728.303458864,-851.3034588639857
149,model_trial_149,8621,70272,83313,153585,145962.2368636117,7622.763136388297
